Save 82 - Episode 847/1500, Score: -104.0 (0.01), AVG Score: -106.28
Save 83 - Episode 848/1500, Score: -105.0 (0.01), AVG Score: -106.22
Save 84 - Episode 849/1500, Score: -107.0 (0.01), AVG Score: -106.11
Save 85 - Episode 850/1500, Score: -103.0 (0.01), AVG Score: -106.05
Save 86 - Episode 851/1500, Score: -104.0 (0.01), AVG Score: -106.04
Save 87 - Episode 852/1500, Score: -104.0 (0.01), AVG Score: -106.03
Save 88 - Episode 853/1500, Score: -108.0 (0.01), AVG Score: -105.99
Save 89 - Episode 854/1500, Score: -84.0 (0.01), AVG Score: -105.78
Save 90 - Episode 855/1500, Score: -104.0 (0.01), AVG Score: -105.75
Save 91 - Episode 856/1500, Score: -104.0 (0.01), AVG Score: -105.66
Save 92 - Episode 857/1500, Score: -95.0 (0.01), AVG Score: -105.55
Save 93 - Episode 858/1500, Score: -103.0 (0.01), AVG Score: -105.46
Save 94 - Episode 860/1500, Score: -103.0 (0.01), AVG Score: -105.57
Save 95 - Episode 861/1500, Score: -104.0 (0.01), AVG Score: -105.51
Save 96 - Episode 862/1500, Score: -105.0 (0.01), AVG Score: -105.53
Save 97 - Episode 863/1500, Score: -103.0 (0.01), AVG Score: -105.5
Save 98 - Episode 864/1500, Score: -103.0 (0.01), AVG Score: -105.48
Save 99 - Episode 865/1500, Score: -104.0 (0.01), AVG Score: -105.45
Save 100 - Episode 866/1500, Score: -104.0 (0.01), AVG Score: -105.44
Save 101 - Episode 867/1500, Score: -104.0 (0.01), AVG Score: -105.37
Save 102 - Episode 868/1500, Score: -102.0 (0.01), AVG Score: -105.29
Save 103 - Episode 869/1500, Score: -104.0 (0.01), AVG Score: -105.3
Save 104 - Episode 870/1500, Score: -107.0 (0.01), AVG Score: -105.44
Save 105 - Episode 871/1500, Score: -105.0 (0.01), AVG Score: -105.43
Save 106 - Episode 872/1500, Score: -107.0 (0.01), AVG Score: -105.66
Save 107 - Episode 873/1500, Score: -106.0 (0.01), AVG Score: -105.67
Save 108 - Episode 874/1500, Score: -83.0 (0.01), AVG Score: -105.44
Save 109 - Episode 875/1500, Score: -108.0 (0.01), AVG Score: -104.52
Save 110 - Episode 876/1500, Score: -85.0 (0.01), AVG Score: -104.33
Save 111 - Episode 877/1500, Score: -105.0 (0.01), AVG Score: -104.43
Save 112 - Episode 879/1500, Score: -102.0 (0.01), AVG Score: -104.49
Save 113 - Episode 880/1500, Score: -104.0 (0.01), AVG Score: -104.49
Save 114 - Episode 882/1500, Score: -104.0 (0.01), AVG Score: -104.53
Save 115 - Episode 883/1500, Score: -105.0 (0.01), AVG Score: -104.46
Save 116 - Episode 886/1500, Score: -104.0 (0.01), AVG Score: -104.98
Save 117 - Episode 887/1500, Score: -103.0 (0.01), AVG Score: -104.46
Save 118 - Episode 888/1500, Score: -106.0 (0.01), AVG Score: -104.45
Save 119 - Episode 889/1500, Score: -87.0 (0.01), AVG Score: -104.23
Save 120 - Episode 890/1500, Score: -103.0 (0.01), AVG Score: -104.22
Save 121 - Episode 891/1500, Score: -86.0 (0.01), AVG Score: -104.05
Save 122 - Episode 892/1500, Score: -102.0 (0.01), AVG Score: -104.04
Save 123 - Episode 893/1500, Score: -90.0 (0.01), AVG Score: -103.99
Save 124 - Episode 894/1500, Score: -104.0 (0.01), AVG Score: -103.99
Save 125 - Episode 895/1500, Score: -87.0 (0.01), AVG Score: -103.9
Save 126 - Episode 896/1500, Score: -83.0 (0.01), AVG Score: -103.65
Save 127 - Episode 897/1500, Score: -102.0 (0.01), AVG Score: -103.55
Save 128 - Episode 898/1500, Score: -84.0 (0.01), AVG Score: -103.31
Save 129 - Episode 899/1500, Score: -86.0 (0.01), AVG Score: -103.06
Save 130 - Episode 900/1500, Score: -86.0 (0.01), AVG Score: -102.89
Save 131 - Episode 901/1500, Score: -84.0 (0.01), AVG Score: -102.9
Save 132 - Episode 902/1500, Score: -107.0 (0.01), AVG Score: -103.06
Save 133 - Episode 903/1500, Score: -102.0 (0.01), AVG Score: -102.28
Save 134 - Episode 904/1500, Score: -84.0 (0.01), AVG Score: -102.12
Save 135 - Episode 905/1500, Score: -106.0 (0.01), AVG Score: -102.15
Save 136 - Episode 906/1500, Score: -104.0 (0.01), AVG Score: -102.06
Save 137 - Episode 907/1500, Score: -104.0 (0.01), AVG Score: -102.07
Save 138 - Episode 910/1500, Score: -101.0 (0.01), AVG Score: -102.44
Save 139 - Episode 911/1500, Score: -85.0 (0.01), AVG Score: -102.23
Save 140 - Episode 912/1500, Score: -104.0 (0.01), AVG Score: -102.36
Save 141 - Episode 913/1500, Score: -102.0 (0.01), AVG Score: -102.36
Save 142 - Episode 914/1500, Score: -87.0 (0.01), AVG Score: -101.83
Save 143 - Episode 916/1500, Score: -107.0 (0.01), AVG Score: -102.16
Save 144 - Episode 917/1500, Score: -84.0 (0.01), AVG Score: -101.98
Save 145 - Episode 918/1500, Score: -101.0 (0.01), AVG Score: -101.93
Save 146 - Episode 919/1500, Score: -102.0 (0.01), AVG Score: -101.9
Save 147 - Episode 920/1500, Score: -103.0 (0.01), AVG Score: -101.9
Save 148 - Episode 921/1500, Score: -103.0 (0.01), AVG Score: -101.76
Save 149 - Episode 922/1500, Score: -103.0 (0.01), AVG Score: -101.76
Save 150 - Episode 923/1500, Score: -102.0 (0.01), AVG Score: -101.75
Save 151 - Episode 924/1500, Score: -105.0 (0.01), AVG Score: -101.58
Save 152 - Episode 925/1500, Score: -103.0 (0.01), AVG Score: -101.58
Save 153 - Episode 926/1500, Score: -105.0 (0.01), AVG Score: -101.64
Save 154 - Episode 927/1500, Score: -100.0 (0.01), AVG Score: -101.8
Save 155 - Episode 928/1500, Score: -104.0 (0.01), AVG Score: -101.8
Save 156 - Episode 929/1500, Score: -105.0 (0.01), AVG Score: -101.81
Save 157 - Episode 930/1500, Score: -104.0 (0.01), AVG Score: -101.78
Save 158 - Episode 931/1500, Score: -107.0 (0.01), AVG Score: -101.76
Save 159 - Episode 933/1500, Score: -104.0 (0.01), AVG Score: -102.41
Save 160 - Episode 934/1500, Score: -99.0 (0.01), AVG Score: -102.37
Save 161 - Episode 935/1500, Score: -89.0 (0.01), AVG Score: -102.21
Save 162 - Episode 936/1500, Score: -104.0 (0.01), AVG Score: -102.21
Save 163 - Episode 937/1500, Score: -105.0 (0.01), AVG Score: -102.19
Save 164 - Episode 938/1500, Score: -104.0 (0.01), AVG Score: -102.19
Save 165 - Episode 939/1500, Score: -102.0 (0.01), AVG Score: -102.17
Save 166 - Episode 940/1500, Score: -102.0 (0.01), AVG Score: -102.13
Save 167 - Episode 941/1500, Score: -84.0 (0.01), AVG Score: -101.89
Save 168 - Episode 942/1500, Score: -104.0 (0.01), AVG Score: -101.88
Save 169 - Episode 943/1500, Score: -105.0 (0.01), AVG Score: -101.86
Save 170 - Episode 944/1500, Score: -105.0 (0.01), AVG Score: -101.87
Save 171 - Episode 945/1500, Score: -100.0 (0.01), AVG Score: -101.73
Save 172 - Episode 946/1500, Score: -106.0 (0.01), AVG Score: -101.76
Save 173 - Episode 947/1500, Score: -84.0 (0.01), AVG Score: -101.56
Save 174 - Episode 948/1500, Score: -103.0 (0.01), AVG Score: -101.54
Save 175 - Episode 950/1500, Score: -83.0 (0.01), AVG Score: -101.41
Save 176 - Episode 951/1500, Score: -104.0 (0.01), AVG Score: -101.41
Save 177 - Episode 952/1500, Score: -107.0 (0.01), AVG Score: -101.44
Save 178 - Episode 953/1500, Score: -107.0 (0.01), AVG Score: -101.43
Save 179 - Episode 954/1500, Score: -105.0 (0.01), AVG Score: -101.64
Save 180 - Episode 956/1500, Score: -104.0 (0.01), AVG Score: -101.72
Save 181 - Episode 957/1500, Score: -103.0 (0.01), AVG Score: -101.8
Save 182 - Episode 958/1500, Score: -103.0 (0.01), AVG Score: -101.8
Save 183 - Episode 959/1500, Score: -104.0 (0.01), AVG Score: -101.61
Save 184 - Episode 960/1500, Score: -105.0 (0.01), AVG Score: -101.63
Save 185 - Episode 961/1500, Score: -84.0 (0.01), AVG Score: -101.43
Save 186 - Episode 962/1500, Score: -104.0 (0.01), AVG Score: -101.42
Save 187 - Episode 963/1500, Score: -104.0 (0.01), AVG Score: -101.43
Save 188 - Episode 964/1500, Score: -101.0 (0.01), AVG Score: -101.41
Save 189 - Episode 965/1500, Score: -108.0 (0.01), AVG Score: -101.45
Save 190 - Episode 966/1500, Score: -104.0 (0.01), AVG Score: -101.45
Save 191 - Episode 967/1500, Score: -105.0 (0.01), AVG Score: -101.46
Save 192 - Episode 968/1500, Score: -85.0 (0.01), AVG Score: -101.29
Save 193 - Episode 969/1500, Score: -105.0 (0.01), AVG Score: -101.3
Save 194 - Episode 970/1500, Score: -103.0 (0.01), AVG Score: -101.26
Save 195 - Episode 971/1500, Score: -103.0 (0.01), AVG Score: -101.24
Save 196 - Episode 972/1500, Score: -103.0 (0.01), AVG Score: -101.2
Save 197 - Episode 973/1500, Score: -101.0 (0.01), AVG Score: -101.15
Save 198 - Episode 974/1500, Score: -107.0 (0.01), AVG Score: -101.39
Save 199 - Episode 976/1500, Score: -103.0 (0.01), AVG Score: -101.59
Save 200 - Episode 977/1500, Score: -86.0 (0.01), AVG Score: -101.4
Save 201 - Episode 978/1500, Score: -100.0 (0.01), AVG Score: -101.29
Save 202 - Episode 979/1500, Score: -83.0 (0.01), AVG Score: -101.1
Save 203 - Episode 980/1500, Score: -107.0 (0.01), AVG Score: -101.13
