Save 80 - Episode 1213/1500, Score: -104.0 (0.01), AVG Score: -108.19
Save 81 - Episode 1214/1500, Score: -105.0 (0.01), AVG Score: -108.21
Save 82 - Episode 1215/1500, Score: -104.0 (0.01), AVG Score: -108.34
Save 83 - Episode 1216/1500, Score: -97.0 (0.01), AVG Score: -108.38
Save 84 - Episode 1217/1500, Score: -90.0 (0.01), AVG Score: -108.17
Save 85 - Episode 1218/1500, Score: -103.0 (0.01), AVG Score: -108.29
Save 86 - Episode 1219/1500, Score: -102.0 (0.01), AVG Score: -108.28
Save 87 - Episode 1220/1500, Score: -102.0 (0.01), AVG Score: -108.25
Save 88 - Episode 1221/1500, Score: -104.0 (0.01), AVG Score: -108.19
Save 89 - Episode 1223/1500, Score: -106.0 (0.01), AVG Score: -108.09
Save 90 - Episode 1224/1500, Score: -89.0 (0.01), AVG Score: -107.85
Save 91 - Episode 1227/1500, Score: -103.0 (0.01), AVG Score: -107.95
Save 92 - Episode 1228/1500, Score: -107.0 (0.01), AVG Score: -108.05
Save 93 - Episode 1229/1500, Score: -87.0 (0.01), AVG Score: -107.98
Save 94 - Episode 1232/1500, Score: -103.0 (0.01), AVG Score: -108.15
Save 95 - Episode 1233/1500, Score: -97.0 (0.01), AVG Score: -108.08
Save 96 - Episode 1234/1500, Score: -108.0 (0.01), AVG Score: -108.29
Save 97 - Episode 1235/1500, Score: -91.0 (0.01), AVG Score: -108.02
Save 98 - Episode 1236/1500, Score: -106.0 (0.01), AVG Score: -107.95
Save 99 - Episode 1237/1500, Score: -103.0 (0.01), AVG Score: -107.94
Save 100 - Episode 1241/1500, Score: -105.0 (0.01), AVG Score: -108.3
Save 101 - Episode 1242/1500, Score: -104.0 (0.01), AVG Score: -108.12
Save 102 - Episode 1243/1500, Score: -87.0 (0.01), AVG Score: -107.78
Save 103 - Episode 1248/1500, Score: -85.0 (0.01), AVG Score: -107.64
Save 104 - Episode 1250/1500, Score: -102.0 (0.01), AVG Score: -107.69
Save 105 - Episode 1251/1500, Score: -108.0 (0.01), AVG Score: -107.7
Save 106 - Episode 1253/1500, Score: -93.0 (0.01), AVG Score: -106.99
Save 107 - Episode 1256/1500, Score: -106.0 (0.01), AVG Score: -107.45
Save 108 - Episode 1257/1500, Score: -102.0 (0.01), AVG Score: -107.38
Save 109 - Episode 1259/1500, Score: -103.0 (0.01), AVG Score: -106.99
Save 110 - Episode 1260/1500, Score: -85.0 (0.01), AVG Score: -106.7
Save 111 - Episode 1261/1500, Score: -85.0 (0.01), AVG Score: -106.39
Save 112 - Episode 1263/1500, Score: -89.0 (0.01), AVG Score: -106.13
Save 113 - Episode 1273/1500, Score: -102.0 (0.01), AVG Score: -106.78
Save 114 - Episode 1274/1500, Score: -102.0 (0.01), AVG Score: -106.75
Save 115 - Episode 1275/1500, Score: -106.0 (0.01), AVG Score: -106.57
Save 116 - Episode 1276/1500, Score: -104.0 (0.01), AVG Score: -106.72
Save 117 - Episode 1277/1500, Score: -95.0 (0.01), AVG Score: -106.59
Save 118 - Episode 1278/1500, Score: -84.0 (0.01), AVG Score: -106.22
Save 119 - Episode 1279/1500, Score: -106.0 (0.01), AVG Score: -106.19
Save 120 - Episode 1280/1500, Score: -85.0 (0.01), AVG Score: -106.14
Save 121 - Episode 1281/1500, Score: -104.0 (0.01), AVG Score: -106.05
Save 122 - Episode 1284/1500, Score: -93.0 (0.01), AVG Score: -106.27
Save 123 - Episode 1289/1500, Score: -102.0 (0.01), AVG Score: -107.47
Save 124 - Episode 1291/1500, Score: -89.0 (0.01), AVG Score: -107.49
Save 125 - Episode 1292/1500, Score: -108.0 (0.01), AVG Score: -107.41
Save 126 - Episode 1294/1500, Score: -102.0 (0.01), AVG Score: -107.5
Save 127 - Episode 1295/1500, Score: -103.0 (0.01), AVG Score: -107.52
Save 128 - Episode 1296/1500, Score: -103.0 (0.01), AVG Score: -107.63
Save 129 - Episode 1299/1500, Score: -99.0 (0.01), AVG Score: -107.54
Save 130 - Episode 1300/1500, Score: -105.0 (0.01), AVG Score: -107.51
Save 131 - Episode 1301/1500, Score: -104.0 (0.01), AVG Score: -107.41
Save 132 - Episode 1303/1500, Score: -102.0 (0.01), AVG Score: -107.37
Save 133 - Episode 1305/1500, Score: -90.0 (0.01), AVG Score: -107.31
Save 134 - Episode 1306/1500, Score: -104.0 (0.01), AVG Score: -107.24
Save 135 - Episode 1307/1500, Score: -88.0 (0.01), AVG Score: -106.83
Save 136 - Episode 1311/1500, Score: -106.0 (0.01), AVG Score: -107.08
Save 137 - Episode 1313/1500, Score: -108.0 (0.01), AVG Score: -107.23
Save 138 - Episode 1318/1500, Score: -105.0 (0.01), AVG Score: -108.08
Save 139 - Episode 1319/1500, Score: -104.0 (0.01), AVG Score: -108.1
Save 140 - Episode 1320/1500, Score: -104.0 (0.01), AVG Score: -108.12
Save 141 - Episode 1322/1500, Score: -106.0 (0.01), AVG Score: -108.01
Save 142 - Episode 1323/1500, Score: -105.0 (0.01), AVG Score: -108.0
Save 143 - Episode 1330/1500, Score: -103.0 (0.01), AVG Score: -108.76
Save 144 - Episode 1331/1500, Score: -108.0 (0.01), AVG Score: -108.71
Save 145 - Episode 1332/1500, Score: -84.0 (0.01), AVG Score: -108.52
Save 146 - Episode 1335/1500, Score: -105.0 (0.01), AVG Score: -108.91
Save 147 - Episode 1337/1500, Score: -106.0 (0.01), AVG Score: -109.15
Save 148 - Episode 1338/1500, Score: -98.0 (0.01), AVG Score: -108.9
Save 149 - Episode 1339/1500, Score: -86.0 (0.01), AVG Score: -108.61
Save 150 - Episode 1341/1500, Score: -104.0 (0.01), AVG Score: -108.6
Save 151 - Episode 1344/1500, Score: -102.0 (0.01), AVG Score: -109.41
Save 152 - Episode 1345/1500, Score: -108.0 (0.01), AVG Score: -109.31
Save 153 - Episode 1346/1500, Score: -91.0 (0.01), AVG Score: -109.12
Save 154 - Episode 1347/1500, Score: -91.0 (0.01), AVG Score: -108.91
Save 155 - Episode 1348/1500, Score: -86.0 (0.01), AVG Score: -108.92
Save 156 - Episode 1349/1500, Score: -89.0 (0.01), AVG Score: -108.58
Save 157 - Episode 1351/1500, Score: -87.0 (0.01), AVG Score: -108.84
Save 158 - Episode 1353/1500, Score: -107.0 (0.01), AVG Score: -108.95
Save 159 - Episode 1355/1500, Score: -102.0 (0.01), AVG Score: -108.44
Save 160 - Episode 1358/1500, Score: -92.0 (0.01), AVG Score: -108.46
Save 161 - Episode 1359/1500, Score: -100.0 (0.01), AVG Score: -108.43
Save 162 - Episode 1360/1500, Score: -89.0 (0.01), AVG Score: -108.47
Save 163 - Episode 1363/1500, Score: -102.0 (0.01), AVG Score: -108.99
Save 164 - Episode 1365/1500, Score: -105.0 (0.01), AVG Score: -108.89
Save 165 - Episode 1366/1500, Score: -103.0 (0.01), AVG Score: -108.81
Save 166 - Episode 1368/1500, Score: -102.0 (0.01), AVG Score: -108.8
Save 167 - Episode 1369/1500, Score: -104.0 (0.01), AVG Score: -108.66
Save 168 - Episode 1372/1500, Score: -102.0 (0.01), AVG Score: -108.73
Save 169 - Episode 1373/1500, Score: -105.0 (0.01), AVG Score: -108.76
Save 170 - Episode 1374/1500, Score: -104.0 (0.01), AVG Score: -108.78
Save 171 - Episode 1375/1500, Score: -88.0 (0.01), AVG Score: -108.6
Save 172 - Episode 1376/1500, Score: -108.0 (0.01), AVG Score: -108.64
Save 173 - Episode 1377/1500, Score: -101.0 (0.01), AVG Score: -108.7
Save 174 - Episode 1379/1500, Score: -103.0 (0.01), AVG Score: -108.96
Save 175 - Episode 1381/1500, Score: -86.0 (0.01), AVG Score: -109.1
Save 176 - Episode 1382/1500, Score: -108.0 (0.01), AVG Score: -109.04
Save 177 - Episode 1383/1500, Score: -108.0 (0.01), AVG Score: -108.92
Save 178 - Episode 1384/1500, Score: -98.0 (0.01), AVG Score: -108.97
Save 179 - Episode 1385/1500, Score: -106.0 (0.01), AVG Score: -108.76
Save 180 - Episode 1386/1500, Score: -92.0 (0.01), AVG Score: -108.01
Save 181 - Episode 1393/1500, Score: -105.0 (0.01), AVG Score: -108.61
Save 182 - Episode 1395/1500, Score: -93.0 (0.01), AVG Score: -108.62
Save 183 - Episode 1397/1500, Score: -103.0 (0.01), AVG Score: -108.7
Save 184 - Episode 1398/1500, Score: -94.0 (0.01), AVG Score: -108.44
Save 185 - Episode 1399/1500, Score: -88.0 (0.01), AVG Score: -108.33
Save 186 - Episode 1400/1500, Score: -107.0 (0.01), AVG Score: -108.35
Save 187 - Episode 1401/1500, Score: -107.0 (0.01), AVG Score: -108.38
Save 188 - Episode 1403/1500, Score: -85.0 (0.01), AVG Score: -108.24
Save 189 - Episode 1405/1500, Score: -105.0 (0.01), AVG Score: -108.41
Save 190 - Episode 1406/1500, Score: -86.0 (0.01), AVG Score: -108.23
Save 191 - Episode 1410/1500, Score: -96.0 (0.01), AVG Score: -108.25
Save 192 - Episode 1411/1500, Score: -108.0 (0.01), AVG Score: -108.27
Save 193 - Episode 1414/1500, Score: -105.0 (0.01), AVG Score: -108.36
Save 194 - Episode 1415/1500, Score: -102.0 (0.01), AVG Score: -108.01
Save 195 - Episode 1416/1500, Score: -104.0 (0.01), AVG Score: -107.82
Save 196 - Episode 1418/1500, Score: -90.0 (0.01), AVG Score: -107.68
Save 197 - Episode 1420/1500, Score: -108.0 (0.01), AVG Score: -108.07
Save 198 - Episode 1424/1500, Score: -105.0 (0.01), AVG Score: -107.59
Save 199 - Episode 1427/1500, Score: -87.0 (0.01), AVG Score: -107.6
Save 200 - Episode 1435/1500, Score: -87.0 (0.01), AVG Score: -108.73
Save 201 - Episode 1439/1500, Score: -97.0 (0.01), AVG Score: -108.94
Save 202 - Episode 1441/1500, Score: -105.0 (0.01), AVG Score: -109.04
Save 203 - Episode 1443/1500, Score: -87.0 (0.01), AVG Score: -108.27
Save 204 - Episode 1446/1500, Score: -106.0 (0.01), AVG Score: -108.65
Save 205 - Episode 1449/1500, Score: -103.0 (0.01), AVG Score: -109.69
Save 206 - Episode 1450/1500, Score: -85.0 (0.01), AVG Score: -109.05
Save 207 - Episode 1452/1500, Score: -94.0 (0.01), AVG Score: -109.17
Save 208 - Episode 1455/1500, Score: -108.0 (0.01), AVG Score: -109.25
Save 209 - Episode 1456/1500, Score: -103.0 (0.01), AVG Score: -109.08
Save 210 - Episode 1457/1500, Score: -106.0 (0.01), AVG Score: -109.02
Save 211 - Episode 1458/1500, Score: -91.0 (0.01), AVG Score: -109.01
Save 212 - Episode 1460/1500, Score: -85.0 (0.01), AVG Score: -109.54
Save 213 - Episode 1461/1500, Score: -102.0 (0.01), AVG Score: -109.36
Save 214 - Episode 1462/1500, Score: -108.0 (0.01), AVG Score: -109.27
Save 215 - Episode 1464/1500, Score: -105.0 (0.01), AVG Score: -109.35
Save 216 - Episode 1468/1500, Score: -107.0 (0.01), AVG Score: -109.67
Save 217 - Episode 1469/1500, Score: -104.0 (0.01), AVG Score: -109.67
Save 218 - Episode 1470/1500, Score: -103.0 (0.01), AVG Score: -109.45
Save 219 - Episode 1471/1500, Score: -106.0 (0.01), AVG Score: -109.35
Save 220 - Episode 1474/1500, Score: -86.0 (0.01), AVG Score: -109.41
Save 221 - Episode 1475/1500, Score: -101.0 (0.01), AVG Score: -109.54
Save 222 - Episode 1476/1500, Score: -106.0 (0.01), AVG Score: -109.52
Save 223 - Episode 1479/1500, Score: -103.0 (0.01), AVG Score: -109.61
Save 224 - Episode 1480/1500, Score: -104.0 (0.01), AVG Score: -109.48
Save 225 - Episode 1496/1500, Score: -102.0 (0.01), AVG Score: -109.89
